claim_id	claim_text	claim_type	asserted_by	first_seen_date	status	confidence	name_context_class	notes
claim-blanche-confirmed-ag-20260808	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.	timeline	NPR / Washington Post	2026-08-08	alleged	0.95	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-phang-v-blanche-injunction-20260625	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.	legal	U.S. District Court for D.C. (reported)	2026-06-25	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Court docket entry not yet captured in raw/.
claim-sullivan-sept24-deadline-20260916	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.	legal	The Hill	2026-09-16	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-preska-efta-overrides-sealing-20260811	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.	legal	Bloomberg	2026-08-11	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-doj-oig-efta-audit-20260423	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.	procedural	UPI / The Hill	2026-04-23	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. OIG ongoing-work listing not yet captured in raw/.
claim-gao-redaction-review-20260428	The Government Accountability Office agreed in late April 2026 to review DOJ's handling of redactions in the Epstein files.	procedural	Washington Post / NBC	2026-04-28	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-hr9694-efta2-introduced-20260715	H.R. 9694, the Epstein Files Transparency Act II, was introduced in the House in July 2026 by Reps. Massie, Khanna, and Leger Fernandez.	legal	Congress.gov / Rep. Massie	2026-07-15	verified_primary	0.96	administrative_mention	Verified by bill text on Congress.gov and sponsor release.
claim-efta2-discharge-218-20260918	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.	procedural	Axios	2026-09-18	alleged	0.88	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. House Clerk discharge-petition record not yet captured in raw/.
claim-hr10389-svpa-introduced-20260916	House Oversight Chairman James Comer introduced the Survivor's Voice Protection Act (H.R. 10389) on September 16, 2026.	legal	House Oversight Committee	2026-09-16	verified_primary	0.95	administrative_mention	Verified by committee press release.
claim-hr10397-srra-introduced-20260915	The Survivors' Rights Restitution Act (H.R. 10397) was introduced in the House on September 15, 2026.	legal	GovInfo	2026-09-15	verified_primary	0.96	administrative_mention	Verified by GovInfo bill record.
claim-sres608-maxwell-clemency-20260729	The Senate adopted S.Res.608 by unanimous consent on July 29, 2026, expressing that Ghislaine Maxwell should not receive a pardon or clemency.	legal	Congress.gov	2026-07-29	verified_primary	0.95	administrative_mention	Verified by Congress.gov resolution record; Axios corroborates date.
claim-oversight-gates-groff-transcripts-20260623	The House Oversight Committee released transcripts of its June 2026 interviews with Lesley Groff and Bill Gates.	procedural	House Oversight Committee	2026-06-23	verified_primary	0.96	administrative_mention	Verified by committee release and transcript PDFs.
claim-oversight-black-band-transcripts-2026	The House Oversight Committee released transcripts of Leon Black's June 26, 2026 and Doug Band's June 30, 2026 transcribed interviews.	procedural	House Oversight Committee	2026-07-17	verified_primary	0.94	administrative_mention	Verified by committee release and Black transcript PDF.
claim-oversight-staley-transcript-20260826	The House Oversight Committee released a redacted transcript of Jes Staley's July 24, 2026 transcribed interview in late August 2026.	procedural	House Oversight Committee	2026-08-26	verified_primary	0.95	administrative_mention	Verified by committee release and transcript PDF dated 8.26.26.
claim-oversight-doj-referral-request-20260604	House Oversight Chairman James Comer and Republican members asked DOJ on June 4, 2026 to investigate allegations Sarah Kellen made in her transcribed interview against two men, both of whom deny the allegations.	procedural	House Oversight Committee	2026-06-04	verified_primary	0.92	unverified_allegation	Verified that the request was made (committee release). The underlying allegations are unverified and denied.
claim-house-black-contempt-20260916	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.	procedural	NPR / CNBC / PBS	2026-09-16	alleged	0.93	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. House roll-call/resolution record not yet captured in raw/.
claim-wsj-executors-sdny-probe-20260923	The Wall Street Journal reported on September 23, 2026 that federal prosecutors in Manhattan are investigating Epstein estate executors Darren Indyke and Richard Kahn; both deny wrongdoing and no charges have been filed.	factual	Wall Street Journal (via CNBC/Forbes)	2026-09-23	alleged	0.8	media_reference	Single-outlet report relayed by others; DOJ has not confirmed. Recorded as alleged.
claim-maxwell-postconviction-denied-20260825	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.	legal	Axios / Reuters	2026-08-25	alleged	0.92	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Opinion PDF not yet captured in raw/.
claim-purported-note-unsealed-20260506	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.	procedural	Reuters / NPR	2026-05-06	alleged	0.9	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Authenticity of the note itself is unestablished.
claim-nm-sues-doj-records-202608	New Mexico's Department of Justice sued the U.S. Department of Justice in August 2026 seeking unredacted Epstein investigative files for its Zorro Ranch criminal probe.	legal	New Mexico Department of Justice	2026-08-05	verified_primary	0.94	administrative_mention	Verified by NMDOJ press release; Courthouse News corroborates.
claim-nm-truth-commission-interim-20260805	New Mexico's Survivors' Truth Commission released a 119-page interim report on August 5, 2026 that assembles evidence on Zorro Ranch but makes no final findings of wrongdoing.	procedural	New Mexico Legislature	2026-08-05	verified_primary	0.93	administrative_mention	Verified by interim report PDF on nmlegis.gov; Source NM corroborates page count and scope.
claim-wyden-bank-report-20260804	Senate Finance Committee Ranking Member Ron Wyden released a report on August 4, 2026 alleging JPMorgan, Bank of America, and Deutsche Bank failed to timely report suspicious Epstein transactions.	factual	Senate Finance Committee (minority)	2026-08-04	verified_primary	0.93	administrative_mention	Verified that the report was released and what it alleges (Senate Finance release). Bank conduct findings are the report's allegations.
claim-bofa-settlement-final-approval-20260827	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.	legal	Reuters / ABC	2026-08-27	alleged	0.93	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Final approval order not yet captured in raw/.
claim-hyatt-pritzker-retired-20260216	Hyatt announced on February 16, 2026 that Thomas J. Pritzker retired as executive chairman effective immediately and would not seek re-election to the board.	timeline	Hyatt Hotels Corporation	2026-02-16	verified_primary	0.98	administrative_mention	Verified by Hyatt's own release. Corrects earlier repo text that described a step-down at the end of 2026.
claim-goldman-ruemmler-8k-2026	Goldman Sachs disclosed in an SEC Form 8-K that Kathryn Ruemmler determined to retire as its chief legal officer and general counsel.	procedural	Goldman Sachs (SEC filing)	2026-03-09	verified_primary	0.95	administrative_mention	Verified by SEC EDGAR 8-K.
claim-storting-epstein-commission-20260415	Norway's Storting resolved on April 15, 2026 to appoint a commission of enquiry into questions raised by the Epstein files; the commission first met on May 5, 2026.	procedural	Stortinget	2026-04-15	verified_primary	0.95	administrative_mention	Verified by Stortinget news item.
claim-gates-foundation-review-20260721	The Gates Foundation's external review summary, released July 21, 2026, reported no evidence that the foundation made payments to Epstein.	factual	Gates Foundation	2026-07-21	verified_primary	0.9	administrative_mention	Verified that the foundation published this finding; the review is commissioned by the foundation itself.
claim-andrew-arrested-20260219	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.	timeline	NPR / CBS	2026-02-19	alleged	0.95	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. Police statement not yet captured in raw/. No charges as of 2026-09-23.
claim-mandelson-arrested-20260223	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.	timeline	CNN / ITV	2026-02-23	alleged	0.94	administrative_mention	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo. No charges as of 2026-09-23.
claim-starmer-resignation-20260622	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.	timeline	CNN / Al Jazeera	2026-06-22	alleged	0.93	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-european-mla-unanswered-20260909	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.	factual	Washington Post	2026-09-09	alleged	0.85	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-siad-found-dead-20260720	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.	timeline	CNN / Al Jazeera	2026-07-20	alleged	0.9	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-23 per repo convention while awaiting a tier-1 artifact in-repo.
claim-bard-botstein-retirement-20260501	Bard College president Leon Botstein announced on May 1, 2026 that he would retire effective June 30, 2026, after a WilmerHale review commissioned by Bard's trustees examined his relationship with Epstein; the review found nothing illegal but said his decisions reflect on his leadership.	timeline	Bard College / WilmerHale	2026-05-01	verified_primary	0.93	administrative_mention	Verified by Bard's own announcement; review findings as summarized by NPR and CNBC.
claim-columbia-dental-officials-20260211	Columbia University said on February 11, 2026 that a College of Dental Medicine student linked to Epstein was admitted in 2012 through an irregular process coinciding with fundraising solicitations, and that it removed Thomas Magnani from admissions and volunteer roles while Letty Moss-Salentijn stepped down from administrative roles.	timeline	Columbia University	2026-02-11	verified_primary	0.93	administrative_mention	Verified by Columbia's public statement.
claim-columbia-axel-steps-down-20260224	Columbia University announced on February 24, 2026 that Nobel laureate Richard Axel would step down as co-director of the Zuckerman Mind Brain Behavior Institute; Columbia said he had not broken university policy or law.	timeline	Columbia University	2026-02-24	verified_primary	0.92	administrative_mention	Verified by Columbia's statement; Axel's own statement called the association a serious error in judgment.
claim-raskin-university-inquiry-20260617	House Judiciary Committee Democrats led by Ranking Member Jamie Raskin sent letters on June 17, 2026 to Harvard and Bard requesting Epstein-related records, extending a January inquiry to Columbia and NYU.	procedural	House Judiciary Committee Democrats	2026-06-17	verified_primary	0.92	administrative_mention	Verified by committee Democrats' press release and letter PDFs. Minority inquiry without subpoena power.
claim-oversight-dershowitz-sep2-request-20260721	House Oversight Chairman James Comer wrote to Alan Dershowitz on July 21, 2026 requesting a videotaped transcribed interview on September 2, 2026 after Dershowitz did not appear for a July 20 interview, and warned the committee could use compulsory process.	procedural	House Oversight Committee	2026-07-21	verified_primary	0.93	administrative_mention	Verified by committee letter PDF. Dershowitz cited an unspecified legal barrier; Sep 2 outcome not reported as of 2026-09-24.
claim-juul-steps-down-ambassador-20260208	Norway's government announced that Mona Juul stepped down as ambassador on February 8, 2026 amid scrutiny of her contacts with Epstein.	timeline	Government of Norway	2026-02-08	verified_primary	0.92	administrative_mention	Verified by regjeringen.no announcement.
claim-juul-rodlarsen-charged-20260209	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.	timeline	News in English / Newsweek	2026-02-09	alleged	0.88	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. Charges are formal suspicions under Norwegian law; neither has been tried.
claim-jagland-charged-20260212	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.	timeline	News in English / CNN	2026-02-12	alleged	0.9	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. Corrects earlier repo date of Feb 13 (CNN publication date).
claim-norway-france-jit-20260427	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.	procedural	Euronews / The Local Norway	2026-04-27	alleged	0.86	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-doj-declined-more-files-20260702	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.	procedural	ABC News / Forbes	2026-07-02	alleged	0.88	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-sullivan-jane-doe4-notes-20260916	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.	procedural	MS NOW / Daily Beast	2026-09-16	alleged	0.87	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. The underlying allegations against Donald Trump are unverified; the White House calls them baseless.
claim-doj-appeal-stay-motion-20260922	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.	procedural	Axios / MS NOW / Raw Story	2026-09-22	alleged	0.84	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. Outcome of the Sep 24 deadline not reported as of 2026-09-24.
claim-survivors-sue-doj-google-20260326	Epstein survivors filed a proposed class action in the Northern District of California on March 26, 2026 against DOJ and Google, alleging the file releases exposed about 100 survivors' personal information and that Google kept republishing it.	procedural	CNN / CBS / NBC	2026-03-26	alleged	0.88	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-fbi-negligence-suit-rr-20260818	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.	procedural	Courthouse News / Law Commentary	2026-08-18	alleged	0.86	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. Recommendation only; district judge ruling pending.
claim-kamen-resigns-first-board-20260312	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.	timeline	NHPR / Concord Monitor	2026-03-12	alleged	0.88	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-yale-gelernter-review-2026	Yale University barred computer science professor David Gelernter from teaching in February 2026 pending a conduct review of his emails with Epstein; in September 2026 Yale said the review was continuing and he would not teach in the fall.	timeline	CNBC / Yale Daily News	2026-02-11	alleged	0.85	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-osu-landon-final-report-20260623	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.	timeline	WOSU	2026-06-23	alleged	0.84	media_reference	Secondary-source reports only (public-radio reporting); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo.
claim-nm-truth-commission-final-due-20261231	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.	factual	Source NM / KOB	2026-08-05	alleged	0.84	media_reference	Secondary-source reports only (multiple outlets); recorded as alleged on 2026-09-24 per repo convention while awaiting a tier-1 artifact in-repo. Corrects earlier repo text that placed the final report in 2027.
