run_utc	claim_id	claim_status	claim_type	name_context_class	asserted_by	first_seen_date	confidence	claim_text	related_source_urls	gap_reason
20260924T223228Z	claim-doj-declined-more-files-20260702	alleged	procedural	media_reference	ABC News / Forbes	2026-07-02	0.88	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.	https://abcnews.com/Politics/doj-declines-turn-additional-epstein-files-redactions/story?id=134430675, https://www.forbes.com/sites/alisondurkee/2026/07/02/could-more-epstein-files-be-released-today-doj-faces-court-ordered-deadline-to-unredact-names/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-doj-letter-300plus-no-context	alleged	procedural	administrative_mention	DOJ (reported by Reuters/CNN)	2026-02-15	0.89	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.	https://keyt.com/news/national-world/cnn-us-politics/2026/02/15/doj-letter-on-epstein-files-lists-hundreds-of-names-but-doesnt-provide-context/, https://whbl.com/2026/02/15/us-justice-department-sends-letter-on-epstein-files-redactions-to-congress/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-doj-oig-efta-audit-20260423	alleged	procedural	administrative_mention	UPI / The Hill	2026-04-23	0.9	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.	https://thehill.com/homenews/administration/5845360-doj-ig-epstein-files-transparency/, https://www.upi.com/Top_News/US/2026/04/23/justice-department-inspector-general-audit-epstein-files-release/7901776973145/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-doj-redactions-letter-reuters	alleged	procedural	administrative_mention	Reuters	2026-02-15	0.90	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.	https://www.yahoo.com/news/us-justice-department-sends-letter-072131716.html	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-efta2-discharge-218-20260918	alleged	procedural	administrative_mention	Axios	2026-09-18	0.88	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.	https://politicalwire.com/2026/09/18/second-epstein-files-discharge-petition-has-the-signatures/, https://www.axios.com/2026/09/18/epstein-files-vote-massie-khanna-support	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-epstein-nobel-outreach-ap	alleged	factual	media_reference	AP	2026-02-14	0.90	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.	https://apnews.com/article/epstein-nobel-jagland-branson-summers-bannon-trump-a947bbf2bd307658014862d01517d21f	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-estate-image-collection-suit-2026	alleged	procedural	media_reference	Reuters / NBC	2026-09-16	0.86	Two women filed a proposed class action against Epstein's estate in the Southern District of New York in mid-September 2026 on behalf of people pictured in his seized collection of child sexual abuse material, seeking at least $6 million and a notification program.	https://www.nbcnews.com/news/us-news/women-sue-epsteins-estate-saying-photos-found-vast-child-porn-collecti-rcna598154, https://www.usnews.com/news/us/articles/2026-09-16/epstein-survivors-sue-his-estate-over-child-pornography-collection	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-european-mla-unanswered-20260909	alleged	factual	media_reference	Washington Post	2026-09-09	0.85	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.	https://www.forbes.com/sites/alisondurkee/2026/09/09/doj-so-far-isnt-helping-european-countries-investigate-epstein-officials-say/, https://www.washingtonpost.com/world/2026/09/09/europeans-investigating-epstein-say-doj-has-not-agreed-requests-help/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-fbi-negligence-suit-rr-20260818	alleged	procedural	media_reference	Courthouse News / Law Commentary	2026-08-18	0.86	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.	https://www.courthousenews.com/epstein-victims-suit-against-fbi-poised-to-survive-dismissal-for-now/, https://www.lawcommentary.com/articles/jeffrey-epstein-survivors-320-million-fbi-negligence-lawsuit-moves-closer-to-surviving-dismissal	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-fekkai-suit-20260901	alleged	procedural	unverified_allegation	CNN / Forbes	2026-09-01	0.86	Seven women sued hairstylist Frederic Fekkai in New York state court on September 1, 2026 over his salon's alleged role in grooming young women for Epstein; Fekkai denies the allegations.	https://www.cnn.com/2026/09/04/politics/frederic-fekkai-epstein-files-lawsuit, https://www.forbes.com/sites/alisondurkee/2026/09/02/epstein-victims-sue-top-hairdresser-after-rep-massie-names-alleged-co-conspirators/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-harvard-affiliates-open-letter-20260723	alleged	timeline	media_reference	The Harvard Crimson	2026-07-23	0.88	On July 23, 2026, 156 Harvard affiliates published an open letter calling for an independent investigation of Harvard's Epstein ties and consequences for people who legitimized Epstein after his 2008 conviction.	https://www.thecrimson.com/article/2026/7/23/harvard-epstein-open-letter/, https://www.thecrimson.com/article/2026/7/30/letter-cafh-epstein-freedom-of-association/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-harvard-hms-donor-rating-20260501	alleged	factual	media_reference	The Harvard Crimson	2026-05-01	0.85	The Harvard Crimson reported on May 1, 2026 that Harvard Medical School gave Epstein a $75 million active donor rating in July 2012 and that Harvard mailed him personalized endowment updates from 2009 through 2018, items not discussed in Harvard's 2020 review.	https://www.thecrimson.com/article/2026/5/1/epstein-harvard-hms-rating/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-house-black-contempt-20260916	alleged	procedural	administrative_mention	NPR / CNBC / PBS	2026-09-16	0.93	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.	https://www.cnbc.com/2026/09/16/leon-black-contempt-house-epstein-subpoenas-refusal.html, https://www.npr.org/2026/09/16/nx-s1-5954258/leon-black-jeffrey-epstein-contempt-congress	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-jagland-charged-20260212	alleged	timeline	media_reference	News in English / CNN	2026-02-12	0.9	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.	https://www.cnn.com/2026/02/13/europe/norway-pm-jagland-charged-epstein-ties-intl-hnk, https://www.newsinenglish.no/2026/02/12/jagland-also-charged-with-corruption/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-joi-ito-digital-garage-202602	alleged	timeline	media_reference	Reuters / Japan Times	2026-02-28	0.84	Digital Garage announced in late February 2026 that Joi Ito would retire as senior managing executive officer on March 31 and leave its board at the June shareholders' meeting, citing a scheduled term expiration.	https://www.japantimes.co.jp/news/2026/03/02/japan/japan-businessman-joichi-ito-epstein/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-juul-rodlarsen-charged-20260209	alleged	timeline	media_reference	News in English / Newsweek	2026-02-09	0.88	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.	https://www.newsinenglish.no/2026/02/08/top-diplomats-dramatic-decline/, https://www.newsweek.com/son-of-epstein-associate-under-investigation-dies-by-suicide-11899731	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-kamen-resigns-first-board-20260312	alleged	timeline	media_reference	NHPR / Concord Monitor	2026-03-12	0.88	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.	https://www.concordmonitor.com/2026/03/12/epstein-ties-lead-to-kamen-resignation/, https://www.nhpr.org/nh-news/2026-03-12/dean-kamen-resigns-first-epstein-nh-newhampshire	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-king-charles-declined-survivors-202604	alleged	timeline	media_reference	Washington Examiner / PBS	2026-04-28	0.85	King Charles III's lawyers declined Rep. Ro Khanna's request that the king meet Epstein survivors during his April 2026 U.S. state visit, citing an ongoing investigation.	https://www.pbs.org/newshour/nation/watch-epstein-survivors-and-families-join-rep-khanna-for-roundtable-ahead-of-king-charles-visit, https://www.washingtonexaminer.com/news/world/4546073/king-charles-declines-meeting-epstein-survivors/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-kruger-clinics-20260307	alleged	timeline	media_reference	New York Times (via DNYUZ)	2026-03-07	0.83	Epstein physician Bernard Kruger stepped away from roles at two concierge medical practices in March 2026; Sollis Health put him on board leave pending an external review.	https://dnyuz.com/2026/03/07/epstein-doctor-steps-away-from-elite-health-clinics/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-lifetouch-school-cancellations	alleged	timeline	media_reference	AP	2026-02-14	0.88	AP reported some U.S. school districts paused or canceled Lifetouch sessions after viral posts made Epstein-related allegations.	https://apnews.com/article/jeffrey-epstein-lifetouch-school-pictures-leon-black-c08e0563f5acd4097bee37225cb33463	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-lutnick-meetings-acknowledged-ap	alleged	factual	media_reference	AP	2026-02-11	0.90	AP reported Howard Lutnick acknowledged pre-government meetings with Epstein and that prior denials were inaccurate.	https://apnews.com/article/epstein-howard-lutnick-trump-administration-2ead9f28f66e0df4da8f8e2d266ebe4f	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-mandelson-arrested-20260223	alleged	timeline	administrative_mention	CNN / ITV	2026-02-23	0.94	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.	https://www.cnn.com/2026/02/23/uk/peter-mandelson-arrested-gbr-intl, https://www.itv.com/news/2026-03-06/lord-mandelson-no-longer-on-bail-as-hes-released-under-investigation-by-police	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-massie-floor-list-20260831	alleged	factual	unverified_allegation	The Hill / Newsweek	2026-08-31	0.9	Rep. Thomas Massie named 14 people on the House floor on August 31, 2026 whom he said should be investigated in connection with Epstein; the list is a floor allegation protected by the Speech or Debate Clause, not a charge, and those who have responded deny wrongdoing.	https://thehill.com/homenews/house/6062468-massie-names-epstein-coconspirators/, https://www.newsweek.com/thomas-massie-names-14-people-he-says-should-be-investigated-over-epstein-12389523	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-maurene-comey-suit-proceeds-20260428	alleged	procedural	media_reference	AP / CBS	2026-04-28	0.9	Judge Jesse Furman ruled on April 28, 2026 that fired Epstein and Maxwell prosecutor Maurene Comey's wrongful-termination suit can proceed in federal court.	https://www.cbsnews.com/news/judge-maurene-comey-firing-justice-department/, https://www.usnews.com/news/best-states/new-york/articles/2026-04-28/judge-rules-that-fired-prosecutor-maurene-comeys-lawsuit-belongs-in-federal-court	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-maxwell-postconviction-denied-20260825	alleged	legal	administrative_mention	Axios / Reuters	2026-08-25	0.92	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.	https://www.axios.com/2026/08/25/ghislaine-maxwells-bid-to-overturn-conviction-rejected, https://www.usnews.com/news/world/articles/2026-08-25/ghislaine-maxwell-loses-bid-to-throw-out-conviction-for-aiding-jeffrey-epstein	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-mcsweeney-resigns-20260208	alleged	timeline	media_reference	CNN	2026-02-08	0.9	Morgan McSweeney resigned as UK Prime Minister Keir Starmer's chief of staff on February 8, 2026, taking responsibility for advising the appointment of Peter Mandelson as ambassador to the United States.	https://www.cnn.com/2026/02/08/uk/morgan-mcsweeney-resigns-mandelson-epstein-intl	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-melania-sanctions-motion-20260721	alleged	procedural	media_reference	Courthouse News / Political Wire	2026-07-21	0.88	On July 21, 2026 Melania Trump moved for sanctions against author Michael Wolff after Judge Mary Kay Vyskocil dismissed his preemptive anti-SLAPP suit; the judge had cautioned against the motion on July 1, and no ruling had been reported as of September 24, 2026.	https://www.courthousenews.com/judge-cautions-melania-trump-against-trying-to-sanction-journalist-michael-wolff/, https://www.courthousenews.com/melania-trump-files-for-sanctions-against-journalist-michael-wolff/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-mount-sinai-review-2026	alleged	factual	media_reference	Bloomberg / CNN	2026-02-27	0.86	Mount Sinai Health System formed a board committee in late February 2026 to review its ties to Epstein; CNN reported in May that DOJ records show Epstein received preferential treatment there.	https://www.bloomberg.com/news/articles/2026-02-27/mount-sinai-forms-committee-to-review-epstein-s-ties-to-hospital, https://www.cnn.com/2026/05/26/politics/jeffrey-epstein-mount-sinai-hospital	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-nfl-tisch-no-violation-202603	alleged	timeline	media_reference	Front Office Sports / NBC Sports	2026-03-31	0.88	NFL Commissioner Roger Goodell said in late March 2026 that the league had found no personal-conduct violation by Steve Tisch, who is no longer a Giants owner after moving his stake into his children's trusts.	https://frontofficesports.com/article/goodell-tisch-is-no-longer-giants-owner-no-policy-violation/, https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/roger-goodell-no-evidence-to-justify-action-against-steve-tisch	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-nm-preservation-letters-20260515	alleged	procedural	media_reference	Albuquerque Journal	2026-05-15	0.85	New Mexico's Department of Justice sent letters dated May 15, 2026 asking dozens of companies, including JPMorgan Chase, Deutsche Bank, Apple, Google, and several airlines, to preserve records tied to Epstein and Maxwell.	https://www.abqjournal.com/news/dozens-of-companies-asked-to-preserve-records-in-epstein-probe/3065405	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-nm-truth-commission-final-due-20261231	alleged	factual	media_reference	Source NM / KOB	2026-08-05	0.84	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.	https://sourcenm.com/2026/08/05/new-mexico-epstein-commission-releases-report-on-investigation-so-far/, https://www.kob.com/new-mexico/new-mexicos-epstein-commission-releases-initial-report/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-norway-france-jit-20260427	alleged	procedural	media_reference	Euronews / The Local Norway	2026-04-27	0.86	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.	https://www.euronews.com/my-europe/2026/04/27/norway-and-france-launch-joint-police-probe-into-diplomats-alleged-links-with-epstein, https://www.thelocal.no/20260428/norway-police-cooperate-with-france-on-epstein-probe	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-nyc-gmva-lookback-20260129	alleged	factual	media_reference	Law-firm summaries / amNY	2026-01-29	0.84	New York City reopened expired Gender-Motivated Violence Act claims when the City Council overrode a mayoral veto on January 29, 2026, creating a window that runs to about July 2027.	https://sanfordheisler.com/blog/new-amendment-to-nycs-gender-motivated-violence-act-gmva-expands-survivors-rights-and-reopens-lookback-window-through-july-2027/, https://www.amny.com/politics/woman-abused-by-epstein-repares-lawsuit-nyc/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-nydoh-doctors-review-20260825	alleged	factual	media_reference	People / TMZ	2026-08-25	0.82	New York's Department of Health said on August 25, 2026 that allegations about doctors connected to Epstein were deeply troubling and warranted review; it did not name anyone.	https://ca.style.yahoo.com/doctors-connected-jeffrey-epstein-under-174500785.html	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-osu-landon-final-report-20260623	alleged	timeline	media_reference	WOSU	2026-06-23	0.84	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.	https://www.wosu.org/news/2026-06-23/ohio-state-releases-final-report-on-wexner-medical-center-doctor-named-in-epstein-files	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-phang-v-blanche-injunction-20260625	alleged	legal	administrative_mention	U.S. District Court for D.C. (reported)	2026-06-25	0.9	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.	https://clearinghouse.net/case/48180/, https://www.cbsnews.com/news/judge-orders-doj-unredact-more-epstein-files-or-explain-why-blanche/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-plaskett-censure-failed-20251118	alleged	timeline	media_reference	ABC / Washington Post / Roll Call	2025-11-18	0.92	The House rejected a resolution to censure Del. Stacey Plaskett over texting Epstein during a February 2019 hearing by a vote of 209-214 on November 18, 2025.	https://abcnews.com/US/house-votes-censuring-plaskett-epstein-texts/story?id=127670527, https://www.washingtonpost.com/politics/2025/11/18/plaskett-epstein-censure/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-plaskett-gov-primary-202608	alleged	timeline	media_reference	Roll Call	2026-08-03	0.86	Stacey Plaskett won the Democratic primary for governor of the U.S. Virgin Islands in August 2026 with about 48% of the vote.	https://rollcall.com/2026/08/03/plaskett-moylan-advance-in-territorial-primary-elections/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-preska-efta-overrides-sealing-20260811	alleged	legal	administrative_mention	Bloomberg	2026-08-11	0.88	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.	https://www.bloomberg.com/news/articles/2026-08-12/epstein-victim-files-cleared-for-release-over-maxwell-s-protest, https://www.spokesman.com/stories/2026/aug/11/epstein-victim-files-cleared-for-release-over-maxw/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-purported-note-unsealed-20260506	alleged	procedural	administrative_mention	Reuters / NPR	2026-05-06	0.9	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.	https://www.npr.org/2026/05/07/nx-s1-5814808/jeffrey-epstein-suicide-note, https://www.usnews.com/news/us/articles/2026-05-06/new-york-judge-releases-purported-epstein-suicide-note	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-reading-room-nyc-20260508	alleged	timeline	media_reference	The Art Newspaper / AP	2026-05-08	0.88	The Institute for Primary Facts opened a reading room in New York displaying all 3,437 bound volumes of the released Epstein files from May 8 to May 21, 2026, and began a national tour in Dallas in September.	https://www.spokesman.com/stories/2026/sep/09/who-are-they-protecting-survivors-push-for-answers/, https://www.theartnewspaper.com/2026/05/13/a-reading-room-for-the-epstein-files-opens-in-new-york	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-regime-change-sitroom-202606	alleged	factual	media_reference	Axios (book reporting)	2026-06-10	0.78	The book Regime Change by Maggie Haberman and Jonathan Swan reported that White House aides held Situation Room meetings in July 2025 on managing the Epstein files and that Vice President Vance proposed a Tucker Carlson interview of Ghislaine Maxwell.	https://www.axios.com/2026/06/10/trump-epstein-files-regime-change-book-swan-haberman	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-rome-prosecutors-inquiry-20260905	alleged	procedural	media_reference	ANSA / Il Tempo	2026-09-05	0.87	Rome prosecutors opened a sexual-violence file against unknown persons concerning possible Italian links to Epstein and sent a letter rogatory to DOJ, as reported on September 5, 2026.	https://www.ansa.it/sito/notizie/cronaca/2026/09/05/indagine-della-procura-di-roma-sugli-italiani-negli-epstein-files_144afa36-da50-4944-a016-c834cf475473.html, https://www.iltempo.it/attualita/2026/09/05/news/procura-roma-inchiesta-epstein-files-violenza-sessuale-rogatoria-usa-atti-secretati-49051708/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-siad-found-dead-20260720	alleged	timeline	media_reference	CNN / Al Jazeera	2026-07-20	0.9	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.	https://www.aljazeera.com/news/2026/7/22/french-model-recruiter-with-close-ties-to-jeffrey-epstein-found-dead, https://www.cnn.com/2026/07/22/europe/model-recruiter-epstein-dead-france-intl	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-starmer-resignation-20260622	alleged	timeline	media_reference	CNN / Al Jazeera	2026-06-22	0.93	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.	https://www.aljazeera.com/news/2026/6/22/why-has-keir-starmer-resigned-as-uk-prime-minister-and-who-will-take-over, https://www.cnn.com/2026/06/22/world/live-news/keir-starmer-uk-pm	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-sullivan-jane-doe4-notes-20260916	alleged	procedural	media_reference	MS NOW / Daily Beast	2026-09-16	0.87	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.	https://www.ms.now/news/judge-rules-todd-blanche-must-turn-over-notes-from-fbi-interview-with-trump-accuser, https://www.thedailybeast.com/reagan-judge-foils-desperate-bid-to-hide-trump-accusers-interviews/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-sullivan-sept24-deadline-20260916	alleged	legal	administrative_mention	The Hill	2026-09-16	0.88	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.	https://thehill.com/regulation/court-battles/6095691-doj-epstein-transparency-ruling/, https://www.newsweek.com/reagan-appointed-judge-issues-epstein-files-deadline-to-trumps-doj-12457462	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T223228Z	claim-survivors-sotu-guests-20260224	alleged	timeline	media_reference	Washington Post / TIME	2026-02-24	0.9	Epstein survivors and relatives attended President Trump's February 24, 2026 State of the Union address as guests of Democratic members of Congress.	https://time.com/7380904/state-of-the-union-trump-epstein-survivors-democrats-guests/, https://www.washingtonpost.com/politics/2026/02/24/epstein-accusers-state-of-the-union/	No tier-1 evidence_type link (primary/transcript/filing/release).
