run_utc	claim_id	redaction_category	category_definition	claim_status	name_context_class	claim_text
20260924T162139Z	claim-wyden-bank-report-20260804	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Senate Finance Committee Ranking Member Ron Wyden released a report on August 4, 2026 alleging JPMorgan, Bank of America, and Deutsche Bank failed to timely report suspicious Epstein transactions.
20260924T162139Z	claim-bofa-settlement-final-approval-20260827	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.
20260924T162139Z	claim-hyatt-pritzker-retired-20260216	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Hyatt announced on February 16, 2026 that Thomas J. Pritzker retired as executive chairman effective immediately and would not seek re-election to the board.
20260924T162139Z	claim-goldman-ruemmler-8k-2026	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Goldman Sachs disclosed in an SEC Form 8-K that Kathryn Ruemmler determined to retire as its chief legal officer and general counsel.
20260924T162139Z	claim-storting-epstein-commission-20260415	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Norway's Storting resolved on April 15, 2026 to appoint a commission of enquiry into questions raised by the Epstein files; the commission first met on May 5, 2026.
20260924T162139Z	claim-gates-foundation-review-20260721	context_gap	Name/context mismatch where list-level references lack per-name context.	verified_primary	administrative_mention	The Gates Foundation's external review summary, released July 21, 2026, reported no evidence that the foundation made payments to Epstein.
20260924T162139Z	claim-andrew-arrested-20260219	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.
20260924T162139Z	claim-mandelson-arrested-20260223	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.
20260924T162139Z	claim-starmer-resignation-20260622	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	UK Prime Minister Keir Starmer announced his resignation on June 22, 2026 amid fallout over his appointment of Peter Mandelson as ambassador.
20260924T162139Z	claim-european-mla-unanswered-20260909	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.
20260924T162139Z	claim-siad-found-dead-20260720	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.
20260924T162139Z	claim-bard-botstein-retirement-20260501	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Bard College president Leon Botstein announced on May 1, 2026 that he would retire effective June 30, 2026, after a WilmerHale review commissioned by Bard's trustees examined his relationship with Epstein; the review found nothing illegal but said his decisions reflect on his leadership.
20260924T162139Z	claim-columbia-dental-officials-20260211	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Columbia University said on February 11, 2026 that a College of Dental Medicine student linked to Epstein was admitted in 2012 through an irregular process coinciding with fundraising solicitations, and that it removed Thomas Magnani from admissions and volunteer roles while Letty Moss-Salentijn stepped down from administrative roles.
20260924T162139Z	claim-columbia-axel-steps-down-20260224	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Columbia University announced on February 24, 2026 that Nobel laureate Richard Axel would step down as co-director of the Zuckerman Mind Brain Behavior Institute; Columbia said he had not broken university policy or law.
20260924T162139Z	claim-raskin-university-inquiry-20260617	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	House Judiciary Committee Democrats led by Ranking Member Jamie Raskin sent letters on June 17, 2026 to Harvard and Bard requesting Epstein-related records, extending a January inquiry to Columbia and NYU.
20260924T162139Z	claim-oversight-dershowitz-sep2-request-20260721	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	House Oversight Chairman James Comer wrote to Alan Dershowitz on July 21, 2026 requesting a videotaped transcribed interview on September 2, 2026 after Dershowitz did not appear for a July 20 interview, and warned the committee could use compulsory process.
20260924T162139Z	claim-juul-steps-down-ambassador-20260208	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Norway's government announced that Mona Juul stepped down as ambassador on February 8, 2026 amid scrutiny of her contacts with Epstein.
20260924T162139Z	claim-juul-rodlarsen-charged-20260209	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Norway's Okokrim charged diplomat Mona Juul with aggravated corruption and her husband Terje Rod-Larsen with complicity in aggravated corruption on February 9, 2026.
20260924T162139Z	claim-jagland-charged-20260212	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	The Council of Europe waived Thorbjorn Jagland's immunity on February 11, 2026, and Okokrim charged him with aggravated corruption on February 12, 2026; he denies the charges.
20260924T162139Z	claim-norway-france-jit-20260427	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Norwegian and French investigators formed a joint investigation team in late April 2026 covering the case against Mona Juul and Terje Rod-Larsen.
20260924T162139Z	claim-doj-declined-more-files-20260702	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	media_reference	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.
20260924T162139Z	claim-sullivan-jane-doe4-notes-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	On September 16, 2026 Judge Emmet Sullivan ordered DOJ to give the court, for private review, redacted and unredacted handwritten notes from four 2019 FBI interviews of a woman identified as Jane Doe 4 by 11 a.m. on September 24, and declined to stay the order pending appeal.
20260924T162139Z	claim-doj-appeal-stay-motion-20260922	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.
20260924T162139Z	claim-survivors-sue-doj-google-20260326	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	Epstein survivors filed a proposed class action in the Northern District of California on March 26, 2026 against DOJ and Google, alleging the file releases exposed about 100 survivors' personal information and that Google kept republishing it.
20260924T162139Z	claim-fbi-negligence-suit-rr-20260818	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	On August 18, 2026 Magistrate Judge Ryon McCabe recommended that survivors' Federal Tort Claims Act negligence suit against the FBI, seeking about $320 million, proceed to 90 days of limited discovery.
20260924T162139Z	claim-kamen-resigns-first-board-20260312	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Dean Kamen resigned from the FIRST board of directors on March 12, 2026; FIRST's board chair said its independent review found no evidence of misconduct.
20260924T162139Z	claim-yale-gelernter-review-2026	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Yale University barred computer science professor David Gelernter from teaching in February 2026 pending a conduct review of his emails with Epstein; in September 2026 Yale said the review was continuing and he would not teach in the fall.
20260924T162139Z	claim-osu-landon-final-report-20260623	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	Ohio State University's final report released June 23, 2026 found that Dr. Mark Landon was not aware of or involved in Epstein's crimes but likely violated university policy by not reporting or getting approval for outside consulting work.
20260924T162139Z	claim-nm-truth-commission-final-due-20261231	victim_privacy	Redactions intended to protect survivor/victim identity.	alleged	media_reference	New Mexico's Survivors' Truth Commission said its interim report found evidence supporting reports of sexual abuse of at least five women and girls at Zorro Ranch between 1996 and 2012, and that its final report is due December 31, 2026.
