change_type	claim_id	previous_status	new_status	previous_confidence	new_confidence	claim_text
added	claim-kruger-clinics-20260307		alleged		0.83	Epstein physician Bernard Kruger stepped away from roles at two concierge medical practices in March 2026; Sollis Health put him on board leave pending an external review.
added	claim-massie-floor-list-20260831		alleged		0.9	Rep. Thomas Massie named 14 people on the House floor on August 31, 2026 whom he said should be investigated in connection with Epstein; the list is a floor allegation protected by the Speech or Debate Clause, not a charge, and those who have responded deny wrongdoing.
added	claim-maurene-comey-suit-proceeds-20260428		alleged		0.9	Judge Jesse Furman ruled on April 28, 2026 that fired Epstein and Maxwell prosecutor Maurene Comey's wrongful-termination suit can proceed in federal court.
added	claim-mount-sinai-review-2026		alleged		0.86	Mount Sinai Health System formed a board committee in late February 2026 to review its ties to Epstein; CNN reported in May that DOJ records show Epstein received preferential treatment there.
added	claim-nfl-tisch-no-violation-202603		alleged		0.88	NFL Commissioner Roger Goodell said in late March 2026 that the league had found no personal-conduct violation by Steve Tisch, who is no longer a Giants owner after moving his stake into his children's trusts.
added	claim-nm-preservation-letters-20260515		alleged		0.85	New Mexico's Department of Justice sent letters dated May 15, 2026 asking dozens of companies, including JPMorgan Chase, Deutsche Bank, Apple, Google, and several airlines, to preserve records tied to Epstein and Maxwell.
added	claim-nyc-gmva-lookback-20260129		alleged		0.84	New York City reopened expired Gender-Motivated Violence Act claims when the City Council overrode a mayoral veto on January 29, 2026, creating a window that runs to about July 2027.
added	claim-nydoh-doctors-review-20260825		alleged		0.82	New York's Department of Health said on August 25, 2026 that allegations about doctors connected to Epstein were deeply troubling and warranted review; it did not name anyone.
added	claim-plaskett-censure-failed-20251118		alleged		0.92	The House rejected a resolution to censure Del. Stacey Plaskett over texting Epstein during a February 2019 hearing by a vote of 209-214 on November 18, 2025.
added	claim-plaskett-gov-primary-202608		alleged		0.86	Stacey Plaskett won the Democratic primary for governor of the U.S. Virgin Islands in August 2026 with about 48% of the vote.
added	claim-regime-change-sitroom-202606		alleged		0.78	The book Regime Change by Maggie Haberman and Jonathan Swan reported that White House aides held Situation Room meetings on managing the Epstein files and that Vice President Vance proposed a Tucker Carlson interview of Ghislaine Maxwell.
added	claim-rome-prosecutors-inquiry-20260905		alleged		0.87	Rome prosecutors opened a sexual-violence file against unknown persons concerning possible Italian links to Epstein and sent a letter rogatory to DOJ, as reported on September 5, 2026.
added	claim-sdny-mcdonald-20260729		verified_primary		0.92	Jamie McDonald assumed the role of U.S. Attorney for the Southern District of New York on July 29, 2026, succeeding Jay Clayton.
added	claim-trump-probe-democrats-20251114		alleged		0.9	On November 14, 2025 President Trump asked DOJ to investigate Epstein's ties to Bill Clinton, Larry Summers, Reid Hoffman, and JPMorgan Chase, and Attorney General Bondi assigned Jay Clayton to lead the inquiry; no charges or findings had been reported as of September 24, 2026.
added	claim-uk-no-public-inquiry-20260805		alleged		0.88	On August 5, 2026 Downing Street said the UK government was not actively considering a public inquiry into Epstein, after the victims minister said Prime Minister Burnham was looking into one.
added	claim-un-experts-epstein-2026		verified_primary		0.9	UN human rights experts said in February 2026 that allegations in the Epstein files may meet the threshold of crimes against humanity and in April 2026 called for a full and transparent investigation of alleged trafficking.
added	claim-wexner-suit-dismissed-20260901		alleged		0.85	Survivors' consolidated federal suit against Les Wexner and the Wexner Foundation was voluntarily dismissed without prejudice on September 1, 2026 amid a dispute over federal jurisdiction.
added	claim-wolff-suit-dismissed-20260522		alleged		0.86	Judge Mary Kay Vyskocil dismissed Michael Wolff's preemptive suit against Melania Trump on May 22, 2026, calling it bad-faith forum shopping.
